18-10-2015 12:49:56 infiSTAR.de | Cannon(76561198027365826) | spawning Code Lock (Exile_Item_Codelock) (v0015D)
18-10-2015 12:50:06 infiSTAR.de | Ford(76561198068372718) | Exploding Optima(76561198052079567) @031868 (v0015D)
18-10-2015 12:50:06 infiSTAR.de | Ford(76561198068372718) | Explode - R Bravo 2-3:1 (Optima) REMOTE(76561198052079567) (v0015D)
18-10-2015 12:50:13 infiSTAR.de | Optima(76561198052079567) | Exploding Ford(76561198068372718) @031868 (v0015D)
18-10-2015 12:50:13 infiSTAR.de | Optima(76561198052079567) | Explode - R Admin:2 (Ford) REMOTE(76561198068372718) (v0015D)
18-10-2015 12:50:20 infiSTAR.de | Optima(76561198052079567) | HealRepairNear (v0015D)
18-10-2015 12:50:23 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0015D)
18-10-2015 12:50:23 infiSTAR.de | Optima(76561198052079567) | HealRepairNear (v0015D)
18-10-2015 12:50:40 infiSTAR.de | Cannon(76561198027365826) | Deleting Box_IND_AmmoVeh_F @031868.. (v0015D)
18-10-2015 12:50:58 infiSTAR.de | Cannon(76561198027365826) | Spawning Code Lock (Exile_Item_Codelock) on the ground infront of Cannon! (v0015D)
18-10-2015 12:50:58 infiSTAR.de | Cannon(76561198027365826) | spawning Code Lock (Exile_Item_Codelock) (v0015D)
18-10-2015 12:50:58 infiSTAR.de | Ford(76561198068372718) | FastFire - 0 (v0015D)
18-10-2015 12:50:58 infiSTAR.de | Cannon(76561198027365826) | Spawning Code Lock (Exile_Item_Codelock) on the ground infront of Cannon! (v0015D)
18-10-2015 12:50:58 infiSTAR.de | Cannon(76561198027365826) | spawning Code Lock (Exile_Item_Codelock) (v0015D)
18-10-2015 12:51:13 infiSTAR.de | Optima(76561198052079567) | UnlimAmmo - 1 (v0015D)
18-10-2015 12:51:14 infiSTAR.de | Optima(76561198052079567) | noRecoil - 1 (v0015D)
18-10-2015 12:51:15 infiSTAR.de | Optima(76561198052079567) | FastFire - 1 (v0015D)
18-10-2015 12:52:02 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0015D)
18-10-2015 12:52:03 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0015D)
18-10-2015 12:52:03 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0015D)
18-10-2015 12:52:03 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0015D)
18-10-2015 12:52:03 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0015D)
18-10-2015 12:52:03 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0015D)
