18-10-2015 15:23:43 infiSTAR.de | 1h 11min 5s | Condor(76561198130693315) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.15385|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:24:43 infiSTAR.de | 1h 11min 41s | Bananapowah(76561198044876089) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.0173|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:25:40 infiSTAR.de | 1h 12min 15s | Ace(76561198066231326) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.55363|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:26:10 infiSTAR.de | 1h 12min 32s | Tekkiteer(76561198075381705) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.73066|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:28:49 infiSTAR.de | 1h 13min 58s | steve assad(76561198077180198) | Too many Threads running on Client! 51 (KICKED) [FPS: 4.80914|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:28:58 infiSTAR.de | 1h 14min 3s | [GB] Scattman(76561198081782021) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.84795|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:29:37 infiSTAR.de | 1h 14min 25s | Samuel L. Jackson(76561198118408432) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.50585|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:29:39 infiSTAR.de | 1h 14min 26s | Ace(76561198066231326) | Too many Threads running on Client! 53 (KICKED) [FPS: 5.07292|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:32:10 infiSTAR.de | 1h 15min 51s | Ben Dover(76561198073821084) | BadMoney on Client: added 900 POP TABS! (2207 should be 1307) [FPS: 5.85223|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:34:38 infiSTAR.de | 1h 17min 17s | Ace(76561198066231326) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.40176|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:35:14 infiSTAR.de | 1h 17min 38s | bengoosens(76561198013438249) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.69598|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:35:25 infiSTAR.de | 1h 17min 44s | Bananapowah(76561198044876089) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.04414|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:37:40 infiSTAR.de | 1h 18min 59s | _TheBeaver_(76561198056607211) | BadMoney on Client: added 1500 POP TABS! (2796 should be 1296) [FPS: 5.56715|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:38:05 infiSTAR.de | 1h 19min 11s | Ace(76561198066231326) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.02828|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:39:14 infiSTAR.de | 1h 19min 50s | Aidan(76561198086458850) | Too many Threads running on Client! 52 (KICKED) [FPS: 5.52868|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:39:33 infiSTAR.de | 1h 20min 1s | Bananapowah(76561198044876089) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.53442|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:41:10 infiSTAR.de | 1h 20min 55s | Red Moon  (76561198081739623) | Too many Threads running on Client! 51 (KICKED) [FPS: 4.95203|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:46:59 infiSTAR.de | 1h 24min 15s | [GB] Nick(76561198117888285) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.11621|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:47:35 infiSTAR.de | 1h 24min 34s | [L.N.S] Wyatt(76561198076914939) | BadMoney on Client: added 15000 POP TABS! (16995 should be 1995) [FPS: 5.56715|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:48:26 infiSTAR.de | 1h 25min 2s | steve assad(76561198077180198) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.97015|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:49:44 infiSTAR.de | 1h 25min 46s | Daniel(76561198232005768) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.68384|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:50:54 infiSTAR.de | 1h 26min 24s | Brendan(76561198072946099) | BadMoney on Client: added 1000 POP TABS! (10436 should be 9436) [FPS: 4.97667|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:52:00 infiSTAR.de | 1h 27min 1s | stock(76561198066035591) | BadMoney on Client: added 2500 POP TABS! (2648 should be 148) [FPS: 5.08744|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:54:35 infiSTAR.de | 1h 28min 22s | Bogus(76561198063285748) | BadMoney on Client: added 2000 POP TABS! (16338 should be 14338) [FPS: 5.20833|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:55:48 infiSTAR.de | 1h 29min 1s | MinorHype(76561197988110276) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.59245|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:57:28 infiSTAR.de | 1h 29min 52s | Cotainmi(76561198194398666) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.23389|SERVERTHREADS: 44] (v0015D)
