20-01-2016 03:02:28 infiSTAR.de | 0h 29min 30s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.25293s (from [10379.3,1292.9,7.75829] to [580.962,496.132,0.00129938]). TopSpeed of Exile_Unit_Player is 24 speed was 139922. Player FPS: 56.1404. Alive for 4.67297s -  [FPS: 44.4444|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:29 infiSTAR.de | 0h 29min 30s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.254028s (from [10379.3,1292.9,7.75829] to [580.914,496.126,0.00129986]). TopSpeed of Exile_Unit_Player is 24 speed was 139318. Player FPS: 55.3633. Alive for 4.92798s -  [FPS: 44.9438|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:29 infiSTAR.de | 0h 29min 30s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.253052s (from [10379.3,1292.9,7.75829] to [581.088,496.147,0.00129938]). TopSpeed of Exile_Unit_Player is 24 speed was 139853. Player FPS: 55.7491. Alive for 5.18103s -  [FPS: 46.1095|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:29 infiSTAR.de | 0h 29min 30s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.258057s (from [10379.3,1292.9,7.75829] to [580.923,496.127,0.00129986]). TopSpeed of Exile_Unit_Player is 24 speed was 137143. Player FPS: 54.9828. Alive for 5.44006s -  [FPS: 46.1095|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:29 infiSTAR.de | 0h 29min 31s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.258911s (from [10379.3,1292.9,7.75829] to [581.12,496.151,0.00130177]). TopSpeed of Exile_Unit_Player is 24 speed was 136687. Player FPS: 57.3477. Alive for 5.69995s -  [FPS: 45.4545|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:30 infiSTAR.de | 0h 29min 31s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.252075s (from [10379.3,1292.9,7.75829] to [580.931,496.128,0.00129986]). TopSpeed of Exile_Unit_Player is 24 speed was 140397. Player FPS: 53.1561. Alive for 5.95203s -  [FPS: 46.3768|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:30 infiSTAR.de | 0h 29min 31s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.25293s (from [10379.3,1292.9,7.75829] to [580.761,496.107,0.00129461]). TopSpeed of Exile_Unit_Player is 24 speed was 139925. Player FPS: 59.0406. Alive for 6.20605s -  [FPS: 46.1095|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:30 infiSTAR.de | 0h 29min 31s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.261963s (from [10379.3,1292.9,7.75829] to [580.582,496.091,0.00129461]). TopSpeed of Exile_Unit_Player is 24 speed was 135102. Player FPS: 57.7617. Alive for 6.46802s -  [FPS: 45.3258|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:30 infiSTAR.de | 0h 29min 32s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.259033s (from [10379.3,1292.9,7.75829] to [580.583,496.092,0.00129414]). TopSpeed of Exile_Unit_Player is 24 speed was 136630. Player FPS: 54.6075. Alive for 6.72705s -  [FPS: 45.3258|SERVERTHREADS: 36] (v0027A)
20-01-2016 03:02:31 infiSTAR.de | 0h 29min 32s | Glen(76561198035855483) | POTENTIAL-TP-REVERTED#1: Moved 9831m in 0.262939s (from [10379.3,1292.9,7.75829] to [580.587,496.098,0.001297]). TopSpeed of Exile_Unit_Player is 24 speed was 134600. Player FPS: 56.7376. Alive for 6.98999s -  [FPS: 43.7158|SERVERTHREADS: 36] (v0027A)
