27-01-2016 13:53:29 infiSTAR.de | 0h 38min 56s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18015,19698.4,0.936104] [FPS: 12.0301|SERVERTHREADS: 37] (v0029)
27-01-2016 13:54:05 infiSTAR.de | 0h 39min 32s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 14.0474|SERVERTHREADS: 37] (v0029)
27-01-2016 13:54:22 infiSTAR.de | 0h 39min 49s | SSF Frank(76561198091891913) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 11.9492|SERVERTHREADS: 37] (v0029)
27-01-2016 13:54:22 infiSTAR.de | 0h 39min 49s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 11.9492|SERVERTHREADS: 37] (v0029)
27-01-2016 13:54:32 infiSTAR.de | 0h 39min 59s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 13.6286|SERVERTHREADS: 37] (v0029)
27-01-2016 13:55:09 infiSTAR.de | 0h 40min 35s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18008.7,19691.6,-0.779739] [FPS: 14.8285|SERVERTHREADS: 37] (v0029)
27-01-2016 13:55:19 infiSTAR.de | 0h 40min 45s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18012.5,19693,-0.140015] [FPS: 13.7812|SERVERTHREADS: 37] (v0029)
27-01-2016 13:55:29 infiSTAR.de | 0h 40min 55s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18008.7,19691.6,-0.779739] [FPS: 12.7287|SERVERTHREADS: 37] (v0029)
27-01-2016 13:55:39 infiSTAR.de | 0h 41min 5s | SSF Frank(76561198091891913) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 14.8423|SERVERTHREADS: 37] (v0029)
27-01-2016 13:57:13 infiSTAR.de | 0h 42min 38s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18008.2,19704.7,1.7007] [FPS: 12.7796|SERVERTHREADS: 37] (v0029)
27-01-2016 13:58:40 infiSTAR.de | 0h 44min 3s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18012.5,19693,-0.140015] [FPS: 11.396|SERVERTHREADS: 37] (v0029)
27-01-2016 13:58:59 infiSTAR.de | 0h 44min 22s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18008.7,19691.6,-0.779739] [FPS: 11.4695|SERVERTHREADS: 37] (v0029)
27-01-2016 13:59:37 infiSTAR.de | 0h 44min 59s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18008.2,19704.7,1.7007] [FPS: 11.181|SERVERTHREADS: 37] (v0029)
27-01-2016 13:59:48 infiSTAR.de | 0h 45min 9s | bambam(76561198112160451) | WALL LOOK CHECK (looked through Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 11.5274|SERVERTHREADS: 37] (v0029)
27-01-2016 14:00:49 infiSTAR.de | 0h 46min 10s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 10.7817|SERVERTHREADS: 37] (v0029)
27-01-2016 14:01:09 infiSTAR.de | 0h 46min 31s | Raphael(76561198128042600) | WALL GLITCH CHECK (GetOut vehicle) - @180299 [18001.2,19694.3,1.04711] [FPS: 11.1421|SERVERTHREADS: 37] (v0029)
27-01-2016 14:01:16 infiSTAR.de | 0h 46min 37s | Raphael(76561198128042600) | WALL GLITCH CHECK (GetOut vehicle) - @180299 [18001.3,19694.3,1.12078] [FPS: 11.1034|SERVERTHREADS: 37] (v0029)
27-01-2016 14:01:46 infiSTAR.de | 0h 47min 7s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17998.9,19705.8,2.12569] [FPS: 11.5523|SERVERTHREADS: 37] (v0029)
