15-01-2016 21:43:58 infiSTAR.de | Falcon911(76561197974470549) | Mass Message: floating guys..log to lobby then back in.  (v0027C)
15-01-2016 21:44:24 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [2519.56,4197.21,0](GPS: 025144) (v0027C)
15-01-2016 21:44:36 infiSTAR.de | Falcon911(76561197974470549) | Stealth / Invisible - 0 (v0027C)
15-01-2016 21:47:33 infiSTAR.de | Double A.(76561198069335401) | Teleport to [6308.14,5325.55,0](GPS: 063155) (v0027C)
15-01-2016 21:47:40 infiSTAR.de | Double A.(76561198069335401) | UnlimAmmo - 1 (v0027C)
15-01-2016 21:47:41 infiSTAR.de | Double A.(76561198069335401) | infiSTAR Player ESP - 1 (v0027C)
15-01-2016 21:48:09 infiSTAR.de | Double A.(76561198069335401) | Teleport to [6284.16,5384.06,0](GPS: 062156) (v0027C)
15-01-2016 21:49:01 infiSTAR.de | Double A.(76561198069335401) | infiSTAR MapIcons - 1 (v0027C)
15-01-2016 21:49:05 infiSTAR.de | Double A.(76561198069335401) | Teleport to [2458.22,4143.84,0](GPS: 024143) (v0027C)
15-01-2016 21:51:38 infiSTAR.de | Double A.(76561198069335401) | infiSTAR Player ESP - 0 (v0027C)
15-01-2016 21:51:38 infiSTAR.de | Double A.(76561198069335401) | infiSTAR MapIcons - 0 (v0027C)
15-01-2016 21:51:39 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0027C)
15-01-2016 21:51:40 infiSTAR.de | Double A.(76561198069335401) | God Mode - 0 (v0027C)
15-01-2016 21:51:41 infiSTAR.de | Double A.(76561198069335401) | UnlimAmmo - 0 (v0027C)
15-01-2016 21:53:52 infiSTAR.de | Double A.(76561198069335401) | Spawning AN/PVS-10 NVS (CUP_optic_AN_PVS_10) on Double A.! (v0027C)
15-01-2016 22:03:34 infiSTAR.de | Double A.(76561198069335401) | God Mode - 1 (v0027C)
15-01-2016 22:03:35 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0027C)
15-01-2016 22:03:53 infiSTAR.de | Double A.(76561198069335401) | DeadPlayer Marker - 1 (v0027C)
15-01-2016 22:03:54 infiSTAR.de | Double A.(76561198069335401) | DeadPlayer Marker - 0 (v0027C)
15-01-2016 22:03:54 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0027C)
15-01-2016 22:03:56 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0027C)
15-01-2016 22:04:02 infiSTAR.de | Double A.(76561198069335401) | Teleport to [2727.86,3944.48,0](GPS: 027141) (v0027C)
