25-01-2016 20:02:49 infiSTAR.de | 1h 28min 32s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 112m in 0.266602s (from [5478.94,13095.1,337.316] to [5557.56,13016,299.515]). TopSpeed of Steerable_Parachute_F is 300 speed was 1505.8. Player FPS: 30.1887. Alive for 5058.42s -  [FPS: 9.90099|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:50 infiSTAR.de | 1h 28min 32s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 115m in 0.271484s (from [5490.73,13082.9,336.585] to [5572.93,13002.3,294.429]). TopSpeed of Steerable_Parachute_F is 300 speed was 1526.76. Player FPS: 29.2505. Alive for 5058.73s -  [FPS: 9.87045|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:50 infiSTAR.de | 1h 28min 32s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 114m in 0.268555s (from [5502.69,13070.9,335.064] to [5584.56,12992.2,291.551]). TopSpeed of Steerable_Parachute_F is 300 speed was 1522.62. Player FPS: 29.1971. Alive for 5059.04s -  [FPS: 9.8401|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:50 infiSTAR.de | 1h 28min 32s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 114m in 0.268555s (from [5513.52,13060.1,332.86] to [5596.08,12982,286.377]). TopSpeed of Steerable_Parachute_F is 300 speed was 1523.94. Player FPS: 29.5203. Alive for 5059.35s -  [FPS: 9.82198|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:51 infiSTAR.de | 1h 28min 33s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 108m in 0.255859s (from [5525.68,13048.3,326.959] to [5603.56,12973.4,281.705]). TopSpeed of Steerable_Parachute_F is 300 speed was 1520.15. Player FPS: 30.0752. Alive for 5059.65s -  [FPS: 9.9194|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:51 infiSTAR.de | 1h 28min 33s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 107m in 0.248047s (from [5536.25,13037,318.303] to [5611.04,12960.3,278.257]). TopSpeed of Steerable_Parachute_F is 300 speed was 1554.65. Player FPS: 31.25. Alive for 5059.93s -  [FPS: 9.98129|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:51 infiSTAR.de | 1h 28min 33s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 111m in 0.260742s (from [5557.69,13014.6,302.419] to [5635.7,12935,262.467]). TopSpeed of Steerable_Parachute_F is 300 speed was 1539.33. Player FPS: 30.7692. Alive for 5060.27s -  [FPS: 10.0063|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:51 infiSTAR.de | 1h 28min 34s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 110m in 0.257813s (from [5569.51,13002.2,279.687] to [5647.37,12924.1,233.716]). TopSpeed of Steerable_Parachute_F is 300 speed was 1540.05. Player FPS: 30.4183. Alive for 5060.57s -  [FPS: 10|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:52 infiSTAR.de | 1h 28min 34s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 121m in 0.280273s (from [5581.39,12989.8,276.565] to [5666.66,12904.5,220.883]). TopSpeed of Steerable_Parachute_F is 300 speed was 1549.3. Player FPS: 27.6817. Alive for 5060.89s -  [FPS: 9.96885|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:52 infiSTAR.de | 1h 28min 34s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 107m in 0.253906s (from [5631.68,12939.1,245.807] to [5707.24,12863.6,196.585]). TopSpeed of Steerable_Parachute_F is 300 speed was 1515.13. Player FPS: 19.2539. Alive for 5061.31s -  [FPS: 9.98752|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:53 infiSTAR.de | 1h 28min 35s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 107m in 0.249023s (from [5658.8,12911.6,225.417] to [5734.36,12836,178.989]). TopSpeed of Steerable_Parachute_F is 300 speed was 1544.84. Player FPS: 15.4291. Alive for 5061.65s -  [FPS: 9.97506|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:53 infiSTAR.de | 1h 28min 35s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 104m in 0.249023s (from [5685.92,12884,209.045] to [5760.27,12811.4,159.586]). TopSpeed of Steerable_Parachute_F is 300 speed was 1502.81. Player FPS: 12.8617. Alive for 5061.99s -  [FPS: 10.0251|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:53 infiSTAR.de | 1h 28min 35s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 96m in 0.226563s (from [5742.3,12827.2,172.902] to [5810.02,12759.6,134.633]). TopSpeed of Steerable_Parachute_F is 300 speed was 1519.98. Player FPS: 11.8519. Alive for 5062.41s -  [FPS: 9.9194|SERVERTHREADS: 36] (v0029)
