13-01-2016 12:45:39 infiSTAR.de | Bayley(76561198037794465) | Stealth / Invisible - 0 (v0027A)
13-01-2016 12:46:42 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
13-01-2016 12:46:42 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
13-01-2016 12:46:51 infiSTAR.de | Bayley(76561198037794465) | Deleting CUP_I_M113_RACS @028231.. (v0027A)
13-01-2016 12:47:12 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Skyler D [GUER (R The Goonies)](76561198141814758) (v0027A)
13-01-2016 12:47:34 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19597.6,19231,0](GPS: 195294) (v0027A)
13-01-2016 12:47:43 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Skyler D [GUER (R The Goonies)](76561198141814758) (v0027A)
13-01-2016 12:47:43 infiSTAR.de | Bayley(76561198037794465) | Teleported Skyler D(76561198141814758) from [2871.01,12868.8,0.00125933](028231) to [2871.01,12868.8,0.00125933](028231)  (0m) (v0027A)
13-01-2016 12:48:47 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Tatsumi [GUER (R The Goonies)](76561198140566289) (v0027A)
13-01-2016 12:48:48 infiSTAR.de | Bayley(76561198037794465) | Teleported Tatsumi(76561198140566289) from [2867.6,12877.2,0.00130653](028231) to [2867.6,12877.2,0.00130653](028231)  (0m) (v0027A)
13-01-2016 12:48:52 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Big Dawg [GUER (R The Goonies)](76561198180911111) (v0027A)
13-01-2016 12:48:52 infiSTAR.de | Bayley(76561198037794465) | Teleported Big Dawg(76561198180911111) from [2855.15,12872.8,0.00155878](028231) to [2855.15,12872.8,0.00155878](028231)  (0m) (v0027A)
13-01-2016 12:49:22 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Fatalmachine [GUER](76561197960446964) (v0027A)
13-01-2016 12:49:33 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - HardCharger [GUER](76561198008333668) (v0027A)
13-01-2016 12:51:29 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Tatsumi [CIV (R Alpha 1-1)](76561198140566289) (v0027A)
13-01-2016 12:52:49 infiSTAR.de | Bayley(76561198037794465) | Teleport to [19600.2,19224.5,0](GPS: 196294) (v0027A)
13-01-2016 12:53:55 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Tatsumi [GUER (R The Goonies)](76561198140566289) (v0027A)
13-01-2016 12:53:55 infiSTAR.de | Bayley(76561198037794465) | Teleported Tatsumi(76561198140566289) from [12384.1,18548.5,0.00161743](123287) to [12384.1,18548.5,0.00161743](123287)  (0m) (v0027A)
13-01-2016 12:56:38 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Lannon Jerrett [GUER](76561198104372521) (v0027A)
13-01-2016 12:57:18 infiSTAR.de | Bayley(76561198037794465) | Stealth / Invisible - 1 (v0027A)
13-01-2016 12:57:37 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - NATas_000 [GUER (R Echo 4-3)](76561198087362651) (v0027A)
13-01-2016 12:57:59 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Lannon Jerrett [GUER](76561198104372521) (v0027A)
13-01-2016 12:57:59 infiSTAR.de | Bayley(76561198037794465) | Teleported Lannon Jerrett(76561198104372521) from [17193.9,3913.66,0.00143886](171141) to [17193.9,3913.66,0.00143886](171141)  (0m) (v0027A)
13-01-2016 12:58:42 infiSTAR.de | Bayley(76561198037794465) | Heal - R Echo 3-1:1 (Bayley)(76561198037794465) (v0027A)
13-01-2016 12:58:47 infiSTAR.de | Bayley(76561198037794465) | Heal - R Charlie 1-1:1 (Lannon Jerrett) REMOTE(76561198104372521) (v0027A)
