28-01-2016 16:06:02 infiSTAR.de | 1h 43min 39s | Michael Stone(76561198150110084) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @178274 [17819,17248.1,0.0633059] [FPS: 7.40398|SERVERTHREADS: 38] (v0029)
28-01-2016 16:52:40 infiSTAR.de | 2h 13min 50s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.89,2.22526] [FPS: 6.29673|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:40 infiSTAR.de | 2h 13min 50s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.9,2.22103] [FPS: 6.45682|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:40 infiSTAR.de | 2h 13min 50s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22181] [FPS: 6.45682|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:40 infiSTAR.de | 2h 13min 50s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22592] [FPS: 6.47511|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:41 infiSTAR.de | 2h 13min 50s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22874] [FPS: 6.47511|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:41 infiSTAR.de | 2h 13min 50s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22932] [FPS: 6.42312|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:41 infiSTAR.de | 2h 13min 50s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.229] [FPS: 6.42312|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:41 infiSTAR.de | 2h 13min 50s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22823] [FPS: 6.4|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:41 infiSTAR.de | 2h 13min 50s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.4|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:41 infiSTAR.de | 2h 13min 50s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.35677|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:41 infiSTAR.de | 2h 13min 50s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.35677|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:42 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.36183|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:42 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.36183|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:42 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.36183|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:42 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.39744|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:42 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.39744|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:42 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.49087|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:43 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.49087|SERVERTHREADS: 37] (v0029)
