19-01-2016 04:07:19 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:20 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:20 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:21 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:22 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:22 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:23 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:23 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:24 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:24 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:24 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:07:24 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:08:13 infiSTAR.de | Bayley(76561198037794465) | Deleting Katana(76561197982462238) vehicle: CUP_I_UH60L_FFV_RACS @195294.. (v0027A)
19-01-2016 04:09:03 infiSTAR.de | Bayley(76561198037794465) | Deleting CUP_B_UH1Y_UNA_F @195294.. (v0027A)
19-01-2016 04:09:48 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Joseph [GUER](76561198044914903) (v0027A)
19-01-2016 04:10:46 infiSTAR.de | Bayley(76561198037794465) | spawning M1A2 Abrams TUSK (Desert) (CUP_B_M1A2_TUSK_MG_DES_USMC) (v0027A)
19-01-2016 04:11:31 infiSTAR.de | Bayley(76561198037794465) | Teleport to [16326.2,17807.6,0](GPS: 163280) (v0027A)
19-01-2016 04:14:53 infiSTAR.de | Bayley(76561198037794465) | Heal - R Fortune Hunters:3 (Graywood) REMOTE(76561197990912707) (v0027A)
19-01-2016 04:14:59 infiSTAR.de | Bayley(76561198037794465) | Heal - R Fortune Hunters:2 (Katana) REMOTE(76561197982462238) (v0027A)
19-01-2016 04:15:04 infiSTAR.de | Bayley(76561198037794465) | Heal - R Fortune Hunters:1 (Yolo Actual) REMOTE(76561198117366071) (v0027A)
19-01-2016 04:15:42 infiSTAR.de | Bayley(76561198037794465) | Teleport to [17689.9,10171.8,0](GPS: 176204) (v0027A)
19-01-2016 04:19:17 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Graywood [GUER (R Fortune Hunters)](76561197990912707) (v0027A)
19-01-2016 04:19:17 infiSTAR.de | Bayley(76561198037794465) | Teleported Graywood(76561197990912707) from [15654.6,6697.51,0.000640869](156169) to [15654.6,6697.51,0.000640869](156169)  (0m) (v0027A)
19-01-2016 04:21:40 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Graywood [GUER (R Fortune Hunters)](76561197990912707) (v0027A)
19-01-2016 04:22:04 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Bike_OldBike @153159.. (v0027A)
19-01-2016 04:22:05 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Bike_OldBike @153159.. (v0027A)
19-01-2016 04:22:06 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Bike_OldBike @153159.. (v0027A)
19-01-2016 04:22:06 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Bike_MountainBike @153159.. (v0027A)
19-01-2016 04:22:07 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Bike_OldBike @153159.. (v0027A)
19-01-2016 04:22:08 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Bike_OldBike @153159.. (v0027A)
19-01-2016 04:22:08 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Bike_MountainBike @153159.. (v0027A)
