25-01-2016 17:25:46 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:46 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:47 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:47 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:47 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:47 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:48 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:48 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:48 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:48 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:25:49 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Fortification Upgrade Kit (Exile_Item_FortificationUpgrade) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:34:27 infiSTAR.de | 7=Temp(76561198133523234) | Deleting GroundWeaponHolder @204195.. (v0029)
25-01-2016 17:35:17 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Safe Kit (Exile_Item_SafeKit) on 7=Temp! (v0029)
25-01-2016 17:36:03 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Safe Kit (Exile_Item_SafeKit) on the ground infront of 7=Temp! (v0029)
25-01-2016 17:38:10 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [15883.4,11138.3,0](GPS: 158213) (v0029)
25-01-2016 17:41:39 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [20400.7,9254.77,0](GPS: 204194) (v0029)
25-01-2016 17:42:43 infiSTAR.de | 7=Temp(76561198133523234) | spawning HMMWV M1151 M2 (CUP_B_HMMWV_M2_GPK_ACR) (v0029)
25-01-2016 17:44:21 infiSTAR.de | Bayley(76561198037794465) | Deleting B_Heli_Light_01_armed_F @138154.. (v0029)
25-01-2016 17:44:34 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Tyler [GUER (R Gougon's Party)](76561198095817173) (v0029)
25-01-2016 17:44:59 infiSTAR.de | 7=Temp(76561198133523234) | spawning BM-21 (CUP_O_BM21_RU) (v0029)
25-01-2016 17:46:37 infiSTAR.de | 7=Temp(76561198133523234) | Deleting GroundWeaponHolder @204194.. (v0029)
25-01-2016 17:52:12 infiSTAR.de | 7=Temp(76561198133523234) | spawning UH-60M (CUP_B_UH60M_US) (v0029)
25-01-2016 17:53:52 infiSTAR.de | 7=Temp(76561198133523234) | spawning UH-1Y Transport (CUP_B_UH1Y_UNA_USMC) (v0029)
25-01-2016 17:54:10 infiSTAR.de | 7=Temp(76561198133523234) | Deleting CUP_B_UH1Y_UNA_USMC @203195.. (v0029)
25-01-2016 17:54:18 infiSTAR.de | 7=Temp(76561198133523234) | spawning UH-1Y Transport (CUP_B_UH1Y_UNA_USMC) (v0029)
25-01-2016 17:54:31 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 0 (v0029)
25-01-2016 17:54:31 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 0 (v0029)
25-01-2016 17:54:46 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 1 (v0029)
25-01-2016 17:55:02 infiSTAR.de | 7=Temp(76561198133523234) | HealSelf (v0029)
25-01-2016 17:55:03 infiSTAR.de | 7=Temp(76561198133523234) | HealSelf (v0029)
25-01-2016 17:55:12 infiSTAR.de | 7=Temp(76561198133523234) | Deleting CUP_B_UH1Y_UNA_USMC @200197.. (v0029)
25-01-2016 17:55:20 infiSTAR.de | 7=Temp(76561198133523234) | spawning UH-1Y Transport (CUP_B_UH1Y_UNA_USMC) (v0029)
25-01-2016 17:57:13 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Gougon Berreta [GUER (R Gougon's Party)](76561198055330821) (v0029)
25-01-2016 17:57:40 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Tyler [GUER (R Gougon's Party)](76561198095817173) (v0029)
25-01-2016 17:58:07 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 1 (v0029)
25-01-2016 17:58:29 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0029)
25-01-2016 17:58:38 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [11564.6,8628.52,0](GPS: 115188) (v0029)
25-01-2016 17:58:48 infiSTAR.de | 7=Temp(76561198133523234) | spawning UH-1Y Transport (CUP_B_UH1Y_UNA_USMC) (v0029)
25-01-2016 17:59:48 infiSTAR.de | 7=Temp(76561198133523234) | HealRepairNear (v0029)
25-01-2016 18:01:39 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0029)
25-01-2016 18:03:15 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 0 (v0029)
25-01-2016 18:05:40 infiSTAR.de | 7=Temp(76561198133523234) | HealRepairNear (v0029)
25-01-2016 18:10:59 infiSTAR.de | 7=Temp(76561198133523234) | HealRepairNear (v0029)
25-01-2016 18:17:43 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Leupold Mark 4 10x40mm LR/T (Woodland) (CUP_optic_LeupoldMk4_10x40_LRT_Woodland) on 7=Temp! (v0029)
