20-01-2016 22:59:28 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 0 (v0027A)
20-01-2016 22:59:28 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 0 (v0027A)
20-01-2016 23:01:13 infiSTAR.de | King Heavy(76561197991198861) | Spawning MAAWS optical sight (CUP_optic_MAAWS_Scope) on King Heavy! (v0027A)
20-01-2016 23:13:49 infiSTAR.de | King Heavy(76561197991198861) |  (v0027A)
20-01-2016 23:13:52 infiSTAR.de | King Heavy(76561197991198861) | Spawning MAAWS HEDP rocket (CUP_MAAWS_HEDP_M) on King Heavy! (v0027A)
20-01-2016 23:15:46 infiSTAR.de | King Heavy(76561197991198861) |  (v0027A)
20-01-2016 23:15:48 infiSTAR.de | King Heavy(76561197991198861) | Spawning MAAWS HEAT rocket (CUP_MAAWS_HEAT_M) on King Heavy! (v0027A)
20-01-2016 23:20:11 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0027A)
20-01-2016 23:20:12 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
20-01-2016 23:20:34 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [13482.8,5286.65,0](GPS: 134155) (v0027A)
20-01-2016 23:21:33 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [10842.4,10671.5,0](GPS: 108209) (v0027A)
20-01-2016 23:21:33 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [12069.2,11357,0](GPS: 120215) (v0027A)
20-01-2016 23:21:56 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [13641.2,5356.82,0](GPS: 136155) (v0027A)
20-01-2016 23:21:59 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [13615.4,5392.24,0](GPS: 136156) (v0027A)
20-01-2016 23:22:38 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [13317.3,1400.25,0](GPS: 133116) (v0027A)
20-01-2016 23:22:45 infiSTAR.de | King Heavy(76561197991198861) | spawning BMP-1 (CUP_O_BMP1_TKA) (v0027A)
20-01-2016 23:24:05 infiSTAR.de | King Heavy(76561197991198861) | Deleting CUP_O_BMP1_TKA @133116.. (v0027A)
20-01-2016 23:24:22 infiSTAR.de | King Heavy(76561197991198861) | spawning BMP-2 (HQ) (CUP_B_BMP_HQ_CDF) (v0027A)
20-01-2016 23:25:19 infiSTAR.de | King Heavy(76561197991198861) | Deleting CUP_B_BMP_HQ_CDF @133116.. (v0027A)
20-01-2016 23:25:31 infiSTAR.de | King Heavy(76561197991198861) | spawning BRDM-2 (CUP_I_BRDM2_UN) (v0027A)
20-01-2016 23:25:58 infiSTAR.de | King Heavy(76561197991198861) | Deleting CUP_I_BRDM2_UN @133116.. (v0027A)
20-01-2016 23:26:33 infiSTAR.de | King Heavy(76561197991198861) | spawning M1A2 Abrams TUSK (Woodland) (CUP_B_M1A2_TUSK_MG_USMC) (v0027A)
20-01-2016 23:27:16 infiSTAR.de | King Heavy(76561197991198861) | Deleting CUP_B_M1A2_TUSK_MG_USMC @133116.. (v0027A)
20-01-2016 23:27:29 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [20321.7,12092.6,0](GPS: 203223) (v0027A)
20-01-2016 23:31:47 infiSTAR.de | King Heavy(76561197991198861) | Self Disconnect (v0027A)
