24-01-2016 18:46:19 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [8332.7,6671.81,0](GPS: 083169) (v0029)
24-01-2016 18:46:25 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [7401.45,5939.19,0](GPS: 074161) (v0029)
24-01-2016 18:46:41 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [12298.8,10479.7,0](GPS: 122207) (v0029)
24-01-2016 18:46:42 infiSTAR.de | Double A.(76561198069335401) | Spawning Mk200 6.5 mm (LMG_Mk200_F) on the ground infront of Double A.! (v0029)
24-01-2016 18:47:24 infiSTAR.de | Double A.(76561198069335401) | Spawning G36 C (CUP_arifle_G36C) on the ground infront of Double A.! (v0029)
24-01-2016 18:48:20 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
24-01-2016 18:48:40 infiSTAR.de | Double A.(76561198069335401) | Spawning Sound Suppressor (6.5 mm) (muzzle_snds_H) on the ground infront of Double A.! (v0029)
24-01-2016 18:48:44 infiSTAR.de | Double A.(76561198069335401) | Spawning Sound Suppressor (5.56 mm) (muzzle_snds_M) on the ground infront of Double A.! (v0029)
24-01-2016 18:48:52 infiSTAR.de | Double A.(76561198069335401) | Deleting GroundWeaponHolder @196229.. (v0029)
24-01-2016 18:49:21 infiSTAR.de | Double A.(76561198069335401) | Spawning G36 Silencer (Black) (CUP_muzzle_snds_G36_black) on Double A.! (v0029)
24-01-2016 18:50:17 infiSTAR.de | Double A.(76561198069335401) | Spawning Aimpoint CompM4 (Black) (CUP_optic_CompM4) on Double A.! (v0029)
24-01-2016 18:50:45 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [21646.1,9777.3,0](GPS: 216200) (v0029)
24-01-2016 18:50:56 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
24-01-2016 18:51:01 infiSTAR.de | Double A.(76561198069335401) | Spawning Beta-c Mag. (red) (CUP_100Rnd_TE1_Red_Tracer_556x45_BetaCMag) on Double A.! (v0029)
24-01-2016 18:51:02 infiSTAR.de | Double A.(76561198069335401) | Spawning Beta-c Mag. (red) (CUP_100Rnd_TE1_Red_Tracer_556x45_BetaCMag) on Double A.! (v0029)
24-01-2016 18:51:02 infiSTAR.de | Double A.(76561198069335401) | Spawning Beta-c Mag. (red) (CUP_100Rnd_TE1_Red_Tracer_556x45_BetaCMag) on Double A.! (v0029)
24-01-2016 18:51:03 infiSTAR.de | Double A.(76561198069335401) | Spawning Beta-c Mag. (red) (CUP_100Rnd_TE1_Red_Tracer_556x45_BetaCMag) on Double A.! (v0029)
24-01-2016 18:51:03 infiSTAR.de | Double A.(76561198069335401) | Spawning Beta-c Mag. (red) (CUP_100Rnd_TE1_Red_Tracer_556x45_BetaCMag) on Double A.! (v0029)
24-01-2016 18:52:06 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [3763.3,12649.7,0](GPS: 037228) (v0029)
24-01-2016 18:52:14 infiSTAR.de | Falcon911(76561197974470549) | infiSTAR Player ESP - 1 (v0029)
24-01-2016 18:52:24 infiSTAR.de | Double A.(76561198069335401) | Spawning AMS (Black) (optic_AMS) on Double A.! (v0029)
24-01-2016 18:53:47 infiSTAR.de | Falcon911(76561197974470549) | Spawning Tactical Backpack (Green) (B_TacticalPack_rgr) on Falcon911! (v0029)
24-01-2016 18:54:20 infiSTAR.de | Falcon911(76561197974470549) | Spawning SpecOps Uniform MARPAT Kneepad [USMC Force Recon] (CUP_U_B_FR_DirAction) on Falcon911! (v0029)
24-01-2016 18:54:37 infiSTAR.de | Falcon911(76561197974470549) | Spawning Sound Suppressor (7.62 mm) (muzzle_snds_B) on Falcon911! (v0029)
24-01-2016 18:54:44 infiSTAR.de | Falcon911(76561197974470549) | Spawning Sound Suppressor (7.62 mm) (muzzle_snds_B) on Falcon911! (v0029)
24-01-2016 18:55:57 infiSTAR.de | Double A.(76561198069335401) | Spawning Mk17 Sniper (CUP_arifle_Mk20) on the ground infront of Double A.! (v0029)
24-01-2016 18:56:13 infiSTAR.de | Falcon911(76561197974470549) | Spawning PSO-1 Scope (CUP_optic_PSO_1) on Falcon911! (v0029)
24-01-2016 18:56:43 infiSTAR.de | Falcon911(76561197974470549) | Spawning LRPS (optic_LRPS) on Falcon911! (v0029)
24-01-2016 18:56:58 infiSTAR.de | Falcon911(76561197974470549) |  (v0029)
24-01-2016 18:57:01 infiSTAR.de | Falcon911(76561197974470549) | Spawning 7.62 mm 20Rnd Mag (20Rnd_762x51_Mag) on Falcon911! (v0029)
24-01-2016 18:57:01 infiSTAR.de | Falcon911(76561197974470549) | Spawning 7.62 mm 20Rnd Mag (20Rnd_762x51_Mag) on Falcon911! (v0029)
24-01-2016 18:57:02 infiSTAR.de | Falcon911(76561197974470549) | Spawning 7.62 mm 20Rnd Mag (20Rnd_762x51_Mag) on Falcon911! (v0029)
24-01-2016 18:57:02 infiSTAR.de | Falcon911(76561197974470549) | Spawning 7.62 mm 20Rnd Mag (20Rnd_762x51_Mag) on Falcon911! (v0029)
24-01-2016 18:57:03 infiSTAR.de | Falcon911(76561197974470549) | Spawning 7.62 mm 20Rnd Mag (20Rnd_762x51_Mag) on Falcon911! (v0029)
24-01-2016 18:57:03 infiSTAR.de | Falcon911(76561197974470549) | Spawning 7.62 mm 20Rnd Mag (20Rnd_762x51_Mag) on Falcon911! (v0029)
