29-01-2016 01:45:28 infiSTAR.de | Dale Jr.(76561198069335401) | Spawning M9 Mag. (CUP_15Rnd_9x19_M9) on Dale Jr.! (v0029)
29-01-2016 01:46:35 infiSTAR.de | Dale Jr.(76561198069335401) | Spawning Mk17 Sniper (CUP_arifle_Mk20) on the ground infront of Dale Jr.! (v0029)
29-01-2016 01:47:13 infiSTAR.de | Dale Jr.(76561198069335401) | Spawning EoTech Holo (Desert) (CUP_optic_HoloDesert) on Dale Jr.! (v0029)
29-01-2016 01:47:26 infiSTAR.de | Dale Jr.(76561198069335401) | Spawning Mk17 Silencer (CUP_muzzle_snds_SCAR_H) on Dale Jr.! (v0029)
29-01-2016 07:46:54 infiSTAR.de | Optima(76561198052079567) | infiSTAR Player ESP - 1 (v0029)
29-01-2016 07:46:54 infiSTAR.de | Optima(76561198052079567) | infiSTAR MapIcons - 1 (v0029)
29-01-2016 07:46:54 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 1 (v0029)
29-01-2016 07:46:54 infiSTAR.de | Optima(76561198052079567) | God Mode - 1 (v0029)
29-01-2016 07:46:54 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 0 (v0029)
29-01-2016 07:46:56 infiSTAR.de | Optima(76561198052079567) | Lower Terrain - 1 (v0029)
29-01-2016 07:47:00 infiSTAR.de | Optima(76561198052079567) | Teleport In Facing Direction (10m steps) - 1 (v0029)
29-01-2016 07:47:18 infiSTAR.de | Optima(76561198052079567) | Teleport to [1465.67,1286.34,0](GPS: 014115) (v0029)
29-01-2016 07:48:35 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 1 (v0029)
29-01-2016 07:49:42 infiSTAR.de | Optima(76561198052079567) | spawning BRDM-2 (CUP_I_BRDM2_TK_Gue) (v0029)
29-01-2016 07:50:07 infiSTAR.de | Optima(76561198052079567) | spawning AH-9 Pawnee (B_Heli_Light_01_armed_F) (v0029)
29-01-2016 07:59:29 infiSTAR.de | Optima(76561198052079567) | SPECTATE - switchedCamera on Caneboys(76561198046745940) (v0029)
29-01-2016 08:03:43 infiSTAR.de | Optima(76561198052079567) | Vehicle God Mode - 1 (v0029)
29-01-2016 08:03:52 infiSTAR.de | Optima(76561198052079567) | Teleport to [1790.11,1209.51,0](GPS: 017114) (v0029)
29-01-2016 08:04:19 infiSTAR.de | Optima(76561198052079567) | Deleting CUP_I_BRDM2_TK_Gue @017114.. (v0029)
29-01-2016 08:09:20 infiSTAR.de | Optima(76561198052079567) | infiSTAR Player ESP - 1 (v0029)
29-01-2016 08:09:21 infiSTAR.de | Optima(76561198052079567) | infiSTAR MapIcons - 1 (v0029)
29-01-2016 08:09:23 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 1 (v0029)
29-01-2016 08:09:23 infiSTAR.de | Optima(76561198052079567) | God Mode - 1 (v0029)
29-01-2016 08:09:24 infiSTAR.de | Optima(76561198052079567) | Lower Terrain - 1 (v0029)
29-01-2016 08:09:25 infiSTAR.de | Optima(76561198052079567) | Teleport In Facing Direction (10m steps) - 1 (v0029)
29-01-2016 08:09:46 infiSTAR.de | Optima(76561198052079567) | spawning BRDM-2 (CUP_B_BRDM2_CDF) (v0029)
29-01-2016 08:10:58 infiSTAR.de | Optima(76561198052079567) | Deleting CUP_B_BRDM2_CDF @020113.. (v0029)
29-01-2016 08:28:33 infiSTAR.de | Optima(76561198052079567) | God Mode - 1 (v0029)
29-01-2016 08:28:34 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 1 (v0029)
29-01-2016 08:28:34 infiSTAR.de | Optima(76561198052079567) | infiSTAR Player ESP - 1 (v0029)
29-01-2016 08:28:35 infiSTAR.de | Optima(76561198052079567) | infiSTAR MapIcons - 1 (v0029)
29-01-2016 08:28:37 infiSTAR.de | Optima(76561198052079567) | Lower Terrain - 1 (v0029)
29-01-2016 08:28:37 infiSTAR.de | Optima(76561198052079567) | Teleport In Facing Direction (10m steps) - 1 (v0029)
29-01-2016 08:29:54 infiSTAR.de | Optima(76561198052079567) | spawning UH-60L (FFV) (CUP_I_UH60L_FFV_RACS) (v0029)
29-01-2016 08:30:18 infiSTAR.de | Optima(76561198052079567) | spawning Chinook HC-4 (CUP_B_CH47F_GB) (v0029)
29-01-2016 08:37:21 infiSTAR.de | Optima(76561198052079567) | Mass Message: A SMALL MILITIA HAVE TAKEN OVER THE EXILE POLICE FORCE ISLAND, THEY HAVE A LARGE CACHE OF WEAPONS, EXPLOSIVES A VEHICLES THERE, KILL THEM AND STEAL IT (v0029)
29-01-2016 08:37:44 infiSTAR.de | Optima(76561198052079567) | Mass Message: ALL CRAMS HAVE BEEN TAKEN OUT BEFOREHAND (v0029)
29-01-2016 08:40:29 infiSTAR.de | Optima(76561198052079567) | Teleport to [565.738,490.547,0](GPS: 005107) (v0029)
29-01-2016 08:43:37 infiSTAR.de | Optima(76561198052079567) | Mass Message: A MILITIA HAVE TAKEN OVER THE EPF ISLAND, THEY HAVE A LARGE CACHE OF WEAPONS, EXPLOSIVES AND VEHICLES, GO TAKE THEM OUT AND STEAL THE STUFF (v0029)
29-01-2016 08:48:19 infiSTAR.de | Optima(76561198052079567) | Mass Message: A MILITIA HAVE TAKEN OVER THE EPF ISLAND, THEY HAVE A LARGE CACHE OF WEAPONS, EXPLOSIVES AND VEHICLES THERE, TAKE THEM OUT AND STEAL THEIR STUFF! (v0029)
29-01-2016 08:49:07 infiSTAR.de | Optima(76561198052079567) | Mass Message: ALL CRAMS ARE DISABLED  (v0029)
29-01-2016 08:56:10 infiSTAR.de | Optima(76561198052079567) | Teleport to [1394.24,993.728,0](GPS: 013112) (v0029)
29-01-2016 08:56:30 infiSTAR.de | Optima(76561198052079567) | spawning BRDM-2 (CUP_B_BRDM2_CDF) (v0029)
29-01-2016 09:02:41 infiSTAR.de | Optima(76561198052079567) | Mass Message: 15 ais left (v0029)
29-01-2016 09:10:13 infiSTAR.de | Optima(76561198052079567) | Mass Message: A MILITIA HAVE TAKEN OVER THE EPF ISLAND, THEY HAVE A LARGE CACHE OF WEAPONS, EXPLOSIVES AND VEHICLES THERE, TAKE THEM OUT AND STEAL THEIR STUFF! (v0029)
29-01-2016 09:10:26 infiSTAR.de | Optima(76561198052079567) | Mass Message: 12 AIs LEFT (v0029)
29-01-2016 09:13:02 infiSTAR.de | Optima(76561198052079567) | SPECTATE - switchedCamera on Hozzer32(76561197968420686) (v0029)
29-01-2016 09:16:17 infiSTAR.de | Optima(76561198052079567) | Mass Message: 7 AIs LEFT (v0029)
29-01-2016 09:17:00 infiSTAR.de | Optima(76561198052079567) | Mass Message: 1 AI Left (v0029)
29-01-2016 09:19:13 infiSTAR.de | Optima(76561198052079567) | Mass Message: THE MILITIA HAS BEEN KILLED! TAKE THE GEAR AND GTFO. (v0029)
29-01-2016 09:20:06 infiSTAR.de | Optima(76561198052079567) | Teleport to [1217.33,1189.4,0](GPS: 012114) (v0029)
29-01-2016 09:28:18 infiSTAR.de | Optima(76561198052079567) | SPECTATE - switchedCamera on Jacob(76561198000351510) (v0029)
29-01-2016 09:28:32 infiSTAR.de | Optima(76561198052079567) | Teleport - Me To Target - Jacob [GUER](76561198000351510) (v0029)
29-01-2016 09:29:22 infiSTAR.de | Optima(76561198052079567) | Teleport to [1195.39,1191.33,0](GPS: 011114) (v0029)
29-01-2016 09:31:31 infiSTAR.de | Optima(76561198052079567) | Mass Message: Good job on the small event guys, thanks to those who participated, and those who didnt, fuck you :) (v0029)
29-01-2016 09:33:38 infiSTAR.de | Optima(76561198052079567) | SPECTATE - switchedCamera on Caneboys(76561198046745940) (v0029)
29-01-2016 09:35:20 infiSTAR.de | Optima(76561198052079567) | Mass Message: CRAMS WILL BE ACTIVATED IN 3 MINUTES! (v0029)
29-01-2016 12:45:08 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0029)
29-01-2016 12:45:09 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0029)
29-01-2016 12:45:10 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR MapIcons - 1 (v0029)
29-01-2016 12:45:11 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR Player ESP - 1 (v0029)
29-01-2016 12:45:20 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [13471.9,5050.72,0](GPS: 134152) (v0029)
29-01-2016 12:45:39 infiSTAR.de | King Heavy(76561197991198861) | unlocked - [CUP_B_UH1Y_UNA_F] (v0029)
29-01-2016 12:46:05 infiSTAR.de | King Heavy(76561197991198861) | Vehicle God Mode - 1 (v0029)
29-01-2016 12:47:46 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [19920.1,12865.9,0](GPS: 199231) (v0029)
29-01-2016 12:47:51 infiSTAR.de | King Heavy(76561197991198861) | Self Disconnect (v0029)
29-01-2016 12:48:56 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0029)
29-01-2016 12:48:57 infiSTAR.de | De Gone(76561198057838365) | infiSTAR MapIcons - 1 (v0029)
29-01-2016 12:48:59 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
29-01-2016 12:48:59 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
29-01-2016 12:49:24 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19574.2,19235.5,0](GPS: 195294) (v0029)
29-01-2016 12:49:27 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0029)
29-01-2016 12:50:38 infiSTAR.de | De Gone(76561198057838365) | Spawning ARCO (optic_Arco) on De Gone! (v0029)
29-01-2016 12:50:39 infiSTAR.de | De Gone(76561198057838365) | Spawning RCO (optic_Hamr) on De Gone! (v0029)
29-01-2016 12:51:16 infiSTAR.de | De Gone(76561198057838365) | Spawning Trijicon ACOG (CUP_optic_RCO) on De Gone! (v0029)
29-01-2016 12:51:21 infiSTAR.de | De Gone(76561198057838365) | Spawning Elcan SpecterDR (CUP_optic_ELCAN_SpecterDR) on De Gone! (v0029)
29-01-2016 12:51:27 infiSTAR.de | De Gone(76561198057838365) | Spawning Leupold Mk4 CQ/T 1-3x14mm (CUP_optic_LeupoldMk4_CQ_T) on De Gone! (v0029)
29-01-2016 12:53:32 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
29-01-2016 12:53:42 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @195294.. (v0029)
