17-01-2016 13:19:58 infiSTAR.de | De Gone(76561198057838365) | Spawning Zip Tie (Exile_Item_ZipTie) on De Gone! (v0027A)
17-01-2016 13:20:27 infiSTAR.de | De Gone(76561198057838365) | Spawning Smoke Grenade (White) (SmokeShell) on De Gone! (v0027A)
17-01-2016 13:20:28 infiSTAR.de | De Gone(76561198057838365) | Spawning Smoke Grenade (White) (SmokeShell) on De Gone! (v0027A)
17-01-2016 13:20:29 infiSTAR.de | De Gone(76561198057838365) | Spawning Smoke Grenade (Green) (SmokeShellGreen) on De Gone! (v0027A)
17-01-2016 13:20:30 infiSTAR.de | De Gone(76561198057838365) | Spawning Smoke Grenade (Blue) (SmokeShellBlue) on De Gone! (v0027A)
17-01-2016 13:20:31 infiSTAR.de | De Gone(76561198057838365) | Spawning Smoke Grenade (White) (SmokeShell) on De Gone! (v0027A)
17-01-2016 13:20:32 infiSTAR.de | De Gone(76561198057838365) | Spawning Smoke Grenade (White) (SmokeShell) on De Gone! (v0027A)
17-01-2016 13:20:45 infiSTAR.de | De Gone(76561198057838365) | Spawning EMRE (Exile_Item_EMRE) on De Gone! (v0027A)
17-01-2016 13:20:46 infiSTAR.de | De Gone(76561198057838365) | Spawning EMRE (Exile_Item_EMRE) on De Gone! (v0027A)
17-01-2016 13:21:54 infiSTAR.de | De Gone(76561198057838365) |  (v0027A)
17-01-2016 13:22:22 infiSTAR.de | De Gone(76561198057838365) | Spawning M1911 Mag. (CUP_7Rnd_45ACP_1911) on De Gone! (v0027A)
17-01-2016 13:23:21 infiSTAR.de | De Gone(76561198057838365) | Teleport to [11160.3,4029.44,0](GPS: 111142) (v0027A)
17-01-2016 13:23:27 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
17-01-2016 13:23:28 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 0 (v0027A)
17-01-2016 13:23:36 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [11176.3,4014.36,0](GPS: 111142) (v0027A)
17-01-2016 13:23:41 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 0 (v0027A)
17-01-2016 13:23:41 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 0 (v0027A)
17-01-2016 13:23:42 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR Player ESP - 0 (v0027A)
17-01-2016 13:29:09 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0027A)
17-01-2016 13:29:09 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
17-01-2016 13:33:16 infiSTAR.de | De Gone(76561198057838365) | Teleport to [15322.6,4248.39,0](GPS: 153144) (v0027A)
17-01-2016 13:33:46 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 0 (v0027A)
17-01-2016 13:33:47 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 0 (v0027A)
17-01-2016 13:34:00 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [15381.6,4209.75,0](GPS: 153144) (v0027A)
17-01-2016 13:35:01 infiSTAR.de | De Gone(76561198057838365) | Teleport to [15278.2,4248.29,0](GPS: 152144) (v0027A)
17-01-2016 13:36:39 infiSTAR.de | De Gone(76561198057838365) | Teleport to [14908.2,3610.47,0](GPS: 149138) (v0027A)
17-01-2016 13:36:40 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR Player ESP - 1 (v0027A)
17-01-2016 13:36:41 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0027A)
17-01-2016 13:36:42 infiSTAR.de | King Heavy(76561197991198861) | Vehicle God Mode - 1 (v0027A)
17-01-2016 13:36:49 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on Maybe_Crazy(76561198144142868) (v0027A)
17-01-2016 13:37:20 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
17-01-2016 13:37:22 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
17-01-2016 13:37:23 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
17-01-2016 13:37:25 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
