27-01-2016 20:50:34 infiSTAR.de | De Gone(76561198057838365) | Spawning Pilot Helmet [NATO] (H_PilotHelmetFighter_B) on De Gone! (v0029)
27-01-2016 20:51:50 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_B_AV8B_Empty @195294.. (v0029)
27-01-2016 20:52:01 infiSTAR.de | De Gone(76561198057838365) | spawning AV-8B (Empty) (CUP_B_AV8B_Empty) (v0029)
27-01-2016 21:04:14 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_B_AV8B_Empty @015184.. (v0029)
27-01-2016 21:06:39 infiSTAR.de | De Gone(76561198057838365) | Teleport to [1217.74,1094.79,0](GPS: 012113) (v0029)
27-01-2016 21:06:46 infiSTAR.de | De Gone(76561198057838365) | Teleport In Facing Direction (10m steps) - 1 (v0029)
27-01-2016 21:07:00 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
27-01-2016 21:07:07 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on Johnathan Riggs(76561198120323940) (v0029)
27-01-2016 21:07:10 infiSTAR.de | De Gone(76561198057838365) | Teleport - Target To Me - Johnathan Riggs [GUER](76561198120323940) (v0029)
27-01-2016 21:07:11 infiSTAR.de | De Gone(76561198057838365) | Teleported Johnathan Riggs(76561198120323940) from [1598.52,8258.09,0.00143886](015184) to [1598.52,8258.09,0.00143886](015184)  (0m) (v0029)
27-01-2016 21:07:33 infiSTAR.de | De Gone(76561198057838365) | Teleport to [1610.89,8250.81,0](GPS: 016184) (v0029)
27-01-2016 21:07:37 infiSTAR.de | De Gone(76561198057838365) | Teleport - Target To Me - (76561198120323940) (v0029)
27-01-2016 21:07:37 infiSTAR.de | De Gone(76561198057838365) | Teleported Johnathan Riggs(76561198120323940) from [1410.28,1021.06,0.00144577](014112) to [1410.28,1021.06,0.00144577](014112)  (0m) (v0029)
27-01-2016 21:07:40 infiSTAR.de | De Gone(76561198057838365) | Teleport to [1589.23,8075.29,0](GPS: 015183) (v0029)
27-01-2016 21:08:02 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18276.6,19390.4,0](GPS: 182296) (v0029)
27-01-2016 21:09:14 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16824.2,9986.35,0](GPS: 168202) (v0029)
27-01-2016 21:11:11 infiSTAR.de | De Gone(76561198057838365) | Teleport to [15489.2,6839.08,0](GPS: 154170) (v0029)
27-01-2016 21:11:36 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19590,19246.6,0](GPS: 195294) (v0029)
27-01-2016 21:11:47 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0029)
27-01-2016 21:16:56 infiSTAR.de | De Gone(76561198057838365) | Deleting Exile_Car_SUVXL_Black @195294.. (v0029)
27-01-2016 21:18:57 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on Hozzer32(76561197968420686) (v0029)
27-01-2016 21:18:59 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - Hozzer32 [GUER (R BS I Shot You)](76561197968420686) (v0029)
27-01-2016 21:19:01 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Respect - Hozzer32 [GUER (R BS I Shot You)](76561197968420686) (v0029)
27-01-2016 21:19:04 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - Hozzer32 [GUER (R BS I Shot You)](76561197968420686) (v0029)
27-01-2016 21:20:10 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on Katana(76561197982462238) (v0029)
27-01-2016 21:21:15 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19453.7,19573,0](GPS: 194298) (v0029)
27-01-2016 21:21:30 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
27-01-2016 21:21:47 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13198.8,19932.6,0](GPS: 131301) (v0029)
27-01-2016 21:25:46 infiSTAR.de | De Gone(76561198057838365) | Teleport to [2766.79,4460.92,0](GPS: 027147) (v0029)
27-01-2016 21:26:58 infiSTAR.de | De Gone(76561198057838365) | Teleport to [2890.77,5028.88,0](GPS: 028152) (v0029)
