22-01-2016 22:06:55 infiSTAR.de | 7=Temp(76561198133523234) | Vehicle God Mode - 0 (v0027A)
22-01-2016 22:10:04 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
22-01-2016 22:10:04 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
22-01-2016 22:10:35 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 0 (v0027A)
22-01-2016 22:10:35 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 0 (v0027A)
22-01-2016 22:11:08 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 1 (v0027A)
22-01-2016 22:11:08 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 1 (v0027A)
22-01-2016 22:11:10 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [10580.2,6886.86,0](GPS: 105171) (v0027A)
22-01-2016 22:11:38 infiSTAR.de | 7=Temp(76561198133523234) | Deleting Exile_Unit_Player @105171.. (v0027A)
22-01-2016 22:11:53 infiSTAR.de | 7=Temp(76561198133523234) | SPECTATE - switchedCamera on AlexWJD(76561198170420898) (v0027A)
22-01-2016 22:12:09 infiSTAR.de | Falcon911(76561197974470549) | Mass Message: the tower is being contested.... (v0027A)
22-01-2016 22:13:42 infiSTAR.de | De Gone(76561198057838365) | Spawning M67 Frag Grenade (CUP_HandGrenade_M67) on the ground infront of De Gone! (v0027A)
22-01-2016 22:13:43 infiSTAR.de | De Gone(76561198057838365) | Spawning M67 Frag Grenade (CUP_HandGrenade_M67) on the ground infront of De Gone! (v0027A)
22-01-2016 22:13:43 infiSTAR.de | De Gone(76561198057838365) | Spawning M67 Frag Grenade (CUP_HandGrenade_M67) on the ground infront of De Gone! (v0027A)
22-01-2016 22:14:16 infiSTAR.de | 7=Temp(76561198133523234) | Deleting GroundWeaponHolder @111189.. (v0027A)
22-01-2016 22:14:41 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Heli Crew Helmet [NATO] (H_CrewHelmetHeli_B) on 7=Temp! (v0027A)
22-01-2016 22:14:45 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
22-01-2016 22:14:46 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
22-01-2016 22:14:51 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10690.2,6928.43,0](GPS: 106171) (v0027A)
22-01-2016 22:15:17 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Heli Pilot Coveralls [NATO] (U_B_HeliPilotCoveralls) on 7=Temp! (v0027A)
22-01-2016 22:15:18 infiSTAR.de | De Gone(76561198057838365) | Deleting Exile_Unit_Player @105171.. (v0027A)
22-01-2016 22:16:13 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Carrier Rig (Black) (V_PlateCarrier2_blk) on 7=Temp! (v0027A)
22-01-2016 22:16:54 infiSTAR.de | 7=Temp(76561198133523234) | spawning CH-53E Super Stallion (CUP_B_CH53E_USMC) (v0027A)
22-01-2016 22:19:36 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 0 (v0027A)
22-01-2016 22:19:37 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 0 (v0027A)
22-01-2016 22:20:52 infiSTAR.de | De Gone(76561198057838365) | Teleport to [11729.7,6479.74,0](GPS: 117167) (v0027A)
22-01-2016 22:21:02 infiSTAR.de | De Gone(76561198057838365) | Teleport to [11569,6527.37,0](GPS: 115167) (v0027A)
22-01-2016 22:23:23 infiSTAR.de | De Gone(76561198057838365) | Teleport to [11534.5,6352.16,0](GPS: 115165) (v0027A)
22-01-2016 22:23:39 infiSTAR.de | Falcon911(76561197974470549) | Spawning Mk18 ABR 7.62 mm (srifle_EBR_F) on the ground infront of Falcon911! (v0027A)
22-01-2016 22:24:09 infiSTAR.de | De Gone(76561198057838365) | Spawning UAV Terminal (B_UavTerminal) on the ground infront of De Gone! (v0027A)
22-01-2016 22:24:31 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10805,8278.19,0](GPS: 108185) (v0027A)
22-01-2016 22:24:46 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10687,8050.57,0](GPS: 106182) (v0027A)
22-01-2016 22:24:56 infiSTAR.de | De Gone(76561198057838365) | Spawning NV Goggles (Brown) (NVGoggles) on the ground infront of De Gone! (v0027A)
22-01-2016 22:26:30 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on blackhawk(76561198068144037) (v0027A)
22-01-2016 22:26:41 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - blackhawk [GUER (R Wankers)](76561198068144037) (v0027A)
22-01-2016 22:27:00 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10535,5759.27,0](GPS: 105159) (v0027A)
22-01-2016 22:28:21 infiSTAR.de | De Gone(76561198057838365) | Teleport to [8632.42,9980.88,0](GPS: 086202) (v0027A)
22-01-2016 22:28:26 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
22-01-2016 22:28:26 infiSTAR.de | De Gone(76561198057838365) | God Mode - 0 (v0027A)
22-01-2016 22:28:35 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
22-01-2016 22:29:37 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 1 (v0027A)
22-01-2016 22:29:38 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 1 (v0027A)
22-01-2016 22:29:41 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
22-01-2016 22:29:47 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10546.2,6890.81,0](GPS: 105171) (v0027A)
22-01-2016 22:30:03 infiSTAR.de | De Gone(76561198057838365) | Teleport to [11194.5,6923.72,0](GPS: 111171) (v0027A)
22-01-2016 22:30:17 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [10549.2,6898.85,0](GPS: 105171) (v0027A)
22-01-2016 22:30:24 infiSTAR.de | Falcon911(76561197974470549) | Mass Message: new king!! (v0027A)
22-01-2016 22:32:53 infiSTAR.de | Falcon911(76561197974470549) | Mass Message: the hill is contested..  (v0027A)
22-01-2016 22:33:44 infiSTAR.de | Falcon911(76561197974470549) | SPECTATE - switchedCamera on TheGreenBastard(76561198239583742) (v0027A)
22-01-2016 22:33:50 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
22-01-2016 22:33:51 infiSTAR.de | De Gone(76561198057838365) | infiSTAR MapIcons - 1 (v0027A)
22-01-2016 22:33:52 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0027A)
22-01-2016 22:33:53 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0027A)
22-01-2016 22:33:56 infiSTAR.de | Falcon911(76561197974470549) | Add / Remove Money - (76561198239583742) (v0027A)
22-01-2016 22:33:57 infiSTAR.de | De Gone(76561198057838365) | Teleport to [11220.3,7049.04,0](GPS: 112172) (v0027A)
22-01-2016 22:34:37 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10571.7,6898.27,0](GPS: 105171) (v0027A)
22-01-2016 22:35:16 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on TheGreenBastard(76561198239583742) (v0027A)
22-01-2016 22:35:19 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - TheGreenBastard [GUER](76561198239583742) (v0027A)
22-01-2016 22:35:24 infiSTAR.de | Falcon911(76561197974470549) | SPECTATE - switchedCamera on TheGreenBastard(76561198239583742) (v0027A)
22-01-2016 22:35:29 infiSTAR.de | 7=Temp(76561198133523234) |  (v0027A)
22-01-2016 22:35:32 infiSTAR.de | Falcon911(76561197974470549) | Add / Remove Money - TheGreenBastard [GUER](76561198239583742) (v0027A)
22-01-2016 22:35:33 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - TheGreenBastard [GUER](76561198239583742) (v0027A)
22-01-2016 22:35:39 infiSTAR.de | 7=Temp(76561198133523234) | Spawning MP5 Magazine (JHP) 30rnd 9mm (hlc_30Rnd_9x19_GD_MP5) on 7=Temp! (v0027A)
22-01-2016 22:35:40 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Respect - TheGreenBastard [GUER](76561198239583742) (v0027A)
22-01-2016 22:35:43 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - TheGreenBastard [GUER](76561198239583742) (v0027A)
22-01-2016 22:35:47 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - (76561198239583742) (v0027A)
22-01-2016 22:38:09 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Contested! (v0027A)
22-01-2016 22:42:18 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Hill contested! (v0027A)
22-01-2016 22:45:53 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Hill still contested! No pop tabs given! (v0027A)
22-01-2016 22:49:01 infiSTAR.de | De Gone(76561198057838365) | Teleport to [20466.3,18549.3,0](GPS: 204287) (v0027A)
22-01-2016 22:49:05 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0027A)
22-01-2016 22:49:46 infiSTAR.de | De Gone(76561198057838365) | Teleport to [20399.6,18583.3,0](GPS: 203288) (v0027A)
22-01-2016 22:50:05 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on B.Durand(76561198020090664) (v0027A)
22-01-2016 22:50:06 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [10651.7,5389.76,0](GPS: 106156) (v0027A)
22-01-2016 22:50:08 infiSTAR.de | De Gone(76561198057838365) | Teleport - Target To Me - B.Durand [GUER (R F.Levesque's Party)](76561198020090664) (v0027A)
22-01-2016 22:50:09 infiSTAR.de | De Gone(76561198057838365) | Teleported B.Durand(76561198020090664) from [20551.2,18580.6,0.00136185](205288) to [20551.2,18580.6,0.00136185](205288)  (0m) (v0027A)
22-01-2016 22:50:10 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on F.Levesque(76561198137444363) (v0027A)
22-01-2016 22:50:12 infiSTAR.de | De Gone(76561198057838365) | Teleport - Target To Me - F.Levesque [GUER (R F.Levesque's Party)](76561198137444363) (v0027A)
22-01-2016 22:50:12 infiSTAR.de | De Gone(76561198057838365) | Teleported F.Levesque(76561198137444363) from [20545.9,18579.4,0.003438](205288) to [20545.9,18579.4,0.003438](205288)  (0m) (v0027A)
22-01-2016 22:50:14 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on O.Voisine(76561198258883405) (v0027A)
22-01-2016 22:50:14 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [11890,6207.88,0](GPS: 118164) (v0027A)
22-01-2016 22:50:14 infiSTAR.de | De Gone(76561198057838365) | Teleport - Target To Me - O.Voisine [GUER (R F.Levesque's Party)](76561198258883405) (v0027A)
22-01-2016 22:50:15 infiSTAR.de | De Gone(76561198057838365) | Teleported O.Voisine(76561198258883405) from [20538.1,18576.1,0.00137043](205288) to [20538.1,18576.1,0.00137043](205288)  (0m) (v0027A)
22-01-2016 22:50:25 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [10990.3,5886.57,0](GPS: 109161) (v0027A)
22-01-2016 22:50:35 infiSTAR.de | 7=Temp(76561198133523234) | Deleting CUP_B_CH53E_USMC @110161.. (v0027A)
