12-01-2016 01:25:55 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
12-01-2016 01:25:55 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
12-01-2016 01:25:56 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
12-01-2016 01:25:56 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
12-01-2016 01:25:56 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
12-01-2016 01:25:57 infiSTAR.de | Bayley(76561198037794465) | Spawning Plastic Bottle (Fresh Water) (Exile_Item_PlasticBottleFreshWater) on the ground infront of Bayley! (v0027A)
12-01-2016 01:26:36 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - IrwiniHoudini [GUER](76561198045579088) (v0027A)
12-01-2016 01:27:51 infiSTAR.de | Bayley(76561198037794465) | Stealth / Invisible - 0 (v0027A)
12-01-2016 01:28:31 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - IrwiniHoudini [GUER](76561198045579088) (v0027A)
12-01-2016 01:28:32 infiSTAR.de | Bayley(76561198037794465) | Teleported IrwiniHoudini(76561198045579088) from [3387.6,14242.5,2.96066](033244) to [3387.6,14242.5,2.96066](033244)  (0m) (v0027A)
12-01-2016 01:29:56 infiSTAR.de | Bayley(76561198037794465) | Teleport to [1313.99,14836.3,0](GPS: 013250) (v0027A)
12-01-2016 01:30:07 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - IrwiniHoudini [GUER](76561198045579088) (v0027A)
12-01-2016 01:30:08 infiSTAR.de | Bayley(76561198037794465) | Teleported IrwiniHoudini(76561198045579088) from [3385.49,14244.5,0.00144529](033244) to [3385.49,14244.5,0.00144529](033244)  (0m) (v0027A)
12-01-2016 01:30:57 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
12-01-2016 01:30:57 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
12-01-2016 01:31:00 infiSTAR.de | Bayley(76561198037794465) | Deleting CUP_B_LR_Transport_GB_W @012250.. (v0027A)
12-01-2016 01:32:36 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Stairs Kit (Exile_Item_WoodStairsKit) on the ground infront of Bayley! (v0027A)
12-01-2016 01:33:24 infiSTAR.de | Bayley(76561198037794465) | spawning Zamak (Transport) (Exile_Car_Zamak) (v0027A)
12-01-2016 01:33:45 infiSTAR.de | Bayley(76561198037794465) | Heal - R Alpha 1-1:8 (IrwiniHoudini) REMOTE(76561198045579088) (v0027A)
12-01-2016 01:34:02 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - (76561198045579088) (v0027A)
