11-01-2016 13:43:51 infiSTAR.de | Ford(76561198068372718) | Teleport to [8569.47,10040.4,0](GPS: 085202) (v0027A)
11-01-2016 13:44:04 infiSTAR.de | Ford(76561198068372718) | Teleport to [1345.67,961.101,0](GPS: 013112) (v0027A)
11-01-2016 13:47:55 infiSTAR.de | Ford(76561198068372718) | Self Disconnect (v0027A)
11-01-2016 13:57:18 infiSTAR.de | Ford(76561198068372718) | infiSTAR Player ESP - 1 (v0027A)
11-01-2016 13:57:19 infiSTAR.de | Ford(76561198068372718) | infiSTAR MapIcons - 1 (v0027A)
11-01-2016 13:57:20 infiSTAR.de | Ford(76561198068372718) | God Mode - 1 (v0027A)
11-01-2016 13:57:21 infiSTAR.de | Ford(76561198068372718) | Vehicle God Mode - 1 (v0027A)
11-01-2016 13:57:22 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 1 (v0027A)
11-01-2016 13:57:24 infiSTAR.de | Ford(76561198068372718) | UnlimAmmo - 1 (v0027A)
11-01-2016 13:57:26 infiSTAR.de | Ford(76561198068372718) | Lower Terrain - 1 (v0027A)
11-01-2016 13:57:26 infiSTAR.de | Ford(76561198068372718) | Teleport In Facing Direction (10m steps) - 1 (v0027A)
11-01-2016 13:59:00 infiSTAR.de | King Heavy(76561197991198861) | God Mode - 1 (v0027A)
11-01-2016 13:59:00 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
11-01-2016 13:59:06 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 0 (v0027A)
11-01-2016 13:59:07 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR Player ESP - 1 (v0027A)
11-01-2016 13:59:08 infiSTAR.de | King Heavy(76561197991198861) | infiSTAR MapIcons - 1 (v0027A)
11-01-2016 14:00:31 infiSTAR.de | Ford(76561198068372718) | Teleport to [20329.5,11499.2,0](GPS: 203217) (v0027A)
11-01-2016 14:02:32 infiSTAR.de | Ford(76561198068372718) | Teleport to [11848.7,8176.24,0](GPS: 118184) (v0027A)
11-01-2016 14:02:39 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [11860.1,8150.08,0](GPS: 118183) (v0027A)
11-01-2016 14:04:14 infiSTAR.de | Ford(76561198068372718) | Teleport to [11932.7,8005.79,0](GPS: 119182) (v0027A)
11-01-2016 14:07:43 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [11939.2,7993.43,0](GPS: 119182) (v0027A)
11-01-2016 14:07:45 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [11924.1,7963.96,0](GPS: 119182) (v0027A)
11-01-2016 14:13:21 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 0 (v0027A)
11-01-2016 14:14:09 infiSTAR.de | King Heavy(76561197991198861) | spawning UH-1Y Venom Gunship (CUP_B_UH1Y_GUNSHIP_USMC) (v0027A)
11-01-2016 14:14:15 infiSTAR.de | King Heavy(76561197991198861) | Deleting CUP_B_UH1Y_GUNSHIP_USMC @119181.. (v0027A)
11-01-2016 14:14:43 infiSTAR.de | King Heavy(76561197991198861) | spawning UH-1Y Venom Gunship (CUP_B_UH1Y_GUNSHIP_USMC) (v0027A)
11-01-2016 14:14:58 infiSTAR.de | King Heavy(76561197991198861) | Vehicle God Mode - 1 (v0027A)
11-01-2016 14:16:41 infiSTAR.de | King Heavy(76561197991198861) | spawning Quad Bike (Exile_Bike_QuadBike_Guerilla01) (v0027A)
11-01-2016 14:17:15 infiSTAR.de | King Heavy(76561197991198861) | spawning Quad Bike (Exile_Bike_QuadBike_Guerilla02) (v0027A)
11-01-2016 14:21:11 infiSTAR.de | Ford(76561198068372718) |  (v0027A)
11-01-2016 14:21:12 infiSTAR.de | Ford(76561198068372718) | Spawning .45 ACP 9Rnd Mag (9Rnd_45ACP_Mag) on Ford! (v0027A)
11-01-2016 14:21:12 infiSTAR.de | Ford(76561198068372718) | Spawning .45 ACP 9Rnd Mag (9Rnd_45ACP_Mag) on Ford! (v0027A)
11-01-2016 14:21:13 infiSTAR.de | Ford(76561198068372718) | Spawning .45 ACP 9Rnd Mag (9Rnd_45ACP_Mag) on Ford! (v0027A)
11-01-2016 14:25:23 infiSTAR.de | King Heavy(76561197991198861) | Remove Gear - R Charlie 4-1:1 (King Heavy)(76561197991198861) (v0027A)
11-01-2016 14:25:32 infiSTAR.de | King Heavy(76561197991198861) | Spawning Ghillie Suit [NATO] (U_B_GhillieSuit) on the ground infront of King Heavy! (v0027A)
11-01-2016 14:25:47 infiSTAR.de | King Heavy(76561197991198861) | Spawning Carryall Backpack (Coyote) (B_Carryall_cbr) on King Heavy! (v0027A)
11-01-2016 14:25:59 infiSTAR.de | King Heavy(76561197991198861) | Spawning Colt M4 Carbine (hlc_rifle_M4) on King Heavy! (v0027A)
11-01-2016 14:26:15 infiSTAR.de | King Heavy(76561197991198861) | Spawning STANAG Mag (SPR) 5.56mm (hlc_30rnd_556x45_SPR) on King Heavy! (v0027A)
11-01-2016 14:26:16 infiSTAR.de | King Heavy(76561197991198861) | Spawning STANAG Mag (SPR) 5.56mm (hlc_30rnd_556x45_SPR) on King Heavy! (v0027A)
11-01-2016 14:26:16 infiSTAR.de | King Heavy(76561197991198861) | Spawning STANAG Mag (SPR) 5.56mm (hlc_30rnd_556x45_SPR) on King Heavy! (v0027A)
11-01-2016 14:26:17 infiSTAR.de | King Heavy(76561197991198861) | Spawning STANAG Mag (SPR) 5.56mm (hlc_30rnd_556x45_SPR) on King Heavy! (v0027A)
11-01-2016 14:26:25 infiSTAR.de | King Heavy(76561197991198861) | Deleting Exile_Loot_XmasPresent_Pink @119182.. (v0027A)
11-01-2016 14:27:14 infiSTAR.de | King Heavy(76561197991198861) | Deleting Exile_Loot_XmasPresent_Magenta @119182.. (v0027A)
11-01-2016 14:27:39 infiSTAR.de | King Heavy(76561197991198861) | Spawning Mk16 SV (CUP_arifle_Mk16_LeupoldMk4MRT) on King Heavy! (v0027A)
